x1,x2,y
0.590938369,0.444760659,1
-0.331501136,1.001217836,0
0.999741061,-0.183938964,0
0.728598344,-0.139324439,1
0.494627876,-0.353570228,0
0.433746682,0.028706659,1
0.341164024,-0.951355026,0
-0.993095207,0.114662498,0
0.46993729,0.841729321,1
0.712804558,0.462371746,1
0.3761208,0.749951123,1
-0.975018791,-0.508886548,0
0.06552417,-0.676941615,1
0.164020421,0.637392938,1
-1.000209572,-0.073072909,1
0.474334477,-0.892724715,0
0.595412744,-0.500826357,0
0.071564045,1.046685173,1
0.460961131,1.042229214,0
0.209195875,1.120762864,0
0.188764505,0.670521704,1
-1.21331352,0.155022699,0
0.514717443,-1.23474956,0
-0.889857088,0.445030249,1
0.273015992,0.581099942,1
0.81725731,0.104623687,1
-0.065478366,-0.738284989,1
0.02962981,-0.235428781,1
0.476229263,0.650398992,0
-0.55509244,0.428831995,1
-0.724859685,0.651508081,1
-0.426193254,-0.698822263,0
-0.338116809,0.358097757,1
-0.456814346,-0.672025673,1
0.579985399,-0.195682521,1
-0.397083547,1.058836962,0
0.220386114,0.79711969,1
-0.851943194,-0.222347488,1
-1.24495342,-0.205795691,0
-0.733018629,0.626768036,1
-0.559598206,0.227672453,1
0.923194404,0.264068396,0
0.702956941,0.389674573,0
0.128645914,-1.06304527,0
-0.738563039,0.790887699,1
0.100173079,-0.45437584,1
1.015690279,-0.240227537,0
-0.943388935,-0.259837542,1
-0.754876026,0.015698257,1
-0.048158738,0.604308051,1
0.587297974,-0.763481274,0
0.911501842,-0.300287957,1
-0.122224796,-0.325026926,1
0.40583152,-0.889666829,1
0.545532144,0.340720962,1
-0.142163378,0.725121284,0
0.024842591,1.447327424,0
-0.0594057,0.638555721,1
-0.637179506,-0.501680345,1
-0.220192685,-1.09164467,0
0.870416874,0.6399064,1
-0.046044394,1.140249735,1
-0.870550445,0.353407333,0
0.300016219,0.752270841,1
-0.060613551,-0.751372705,1
0.037713171,-0.550078309,1
0.625391487,-0.879277348,0
0.292990395,-0.498472499,1
0.610719674,-0.028545994,1
0.790898866,0.890871491,0
0.35424453,-0.980323286,1
0.660236451,0.24741057,1
-0.314286704,-0.882968634,1
0.072615779,-0.970615054,1
-0.92332996,0.187390026,1
-0.467050612,-0.723136239,1
1.177709859,-0.361033866,0
0.540723197,0.568324989,0
-0.569473653,-0.624715081,1
0.954173962,0.147300061,0
0.042105002,0.887235511,0
-0.516646601,0.329485757,0
0.4824464,-0.711337461,1
0.159273762,-0.891968548,0
-0.562878701,-1.017493074,0
-0.758364517,-0.192068844,1
-0.685396405,-0.333396495,1
-0.790523751,-0.265606686,1
0.781734095,0.492030945,0
-0.101604342,-0.974710313,0
0.045361187,-0.900665489,1
-0.855424331,-0.33888124,1
0.640894355,-0.582468716,1
0.873354255,-0.026287247,1
0.373943207,1.154692473,0
-0.682968985,-0.428832606,0
-0.08850781,0.725818195,1
0.588594373,0.174716054,0
-0.035045464,0.901145992,1
0.482064603,-0.283109901,1
-0.526213485,-0.563146397,0
-0.433856628,-0.831949972,1
-0.310941026,0.545373458,1
0.539765881,-0.653756187,0
1.194769814,-0.074734069,0
-0.248769445,-0.509362363,1
0.323588705,-0.928053751,1
0.433910496,0.822193259,0
0.441218136,-1.07470072,1
0.387619288,0.722653497,1
0.731887028,0.351053328,0
-0.470796572,-0.682229559,1
0.273487538,-0.583840004,0
-0.818395721,-0.233513135,0
-0.443007586,0.288478892,1
0.098273845,0.746645614,0
0.585060518,-0.649480645,1
0.761269719,-0.554305309,0
0.794984042,-0.650288993,0
-1.135192495,0.22690587,0
-0.422706272,-0.849444448,0
0.429107398,0.305123869,1
1.009552279,-0.329054442,0
-0.490022135,1.14913485,0
-0.060430241,0.981949324,0
-1.392765642,-0.371655865,0
-1.243813394,0.137973826,0
-0.109372356,0.643193997,1
0.549870941,0.747715368,1
-0.482014687,-0.559278878,0
0.05367108,-0.457381271,0
-0.199468407,1.313107893,0
0.186282784,-1.0784606,0
0.584452069,-0.888117714,1
0.739454956,-0.153482487,1
-0.64816964,-0.18933537,1
0.330952136,-0.794877877,1
-0.045336313,-0.682328563,1
0.890187069,-1.101834776,0
-0.355103761,-0.556053855,0
0.231809931,0.779393141,1
-0.184599731,-1.152982169,0
-0.316069008,-0.756977151,0
-0.057628082,0.438154327,1
0.866859922,-0.057376581,0
-1.10916272,-0.032567861,0
0.18664359,0.985811525,0
0.8165305,-0.633168476,1
-0.547955072,-0.455194502,1
-0.538903265,-1.140368678,0
0.666997262,0.913533106,1
-1.019218471,0.482520026,0
-0.504721909,-0.538358548,0
-0.885135502,-0.495173974,1
-0.318809096,0.736057319,1
0.790473388,-0.376010508,0
-0.161663575,-1.423676841,0
0.324226643,-0.38637824,1
-0.32397519,0.585817667,0
-0.700220064,-0.105483553,1
-0.340445668,0.591244117,1
0.752307661,-0.603534665,1
-0.641288516,-0.768285822,0
-0.277429308,0.945818391,1
0.787890116,0.168066013,1
-1.133118163,-0.624934909,1
-0.928288354,1.031411529,0
-0.508822497,-0.643674283,1
-0.778673066,-0.122487122,1
-1.026408513,0.332530969,0
-0.848135395,0.468790434,1
-0.074320604,-0.703095977,1
0.212964241,0.301912614,1
-0.169135422,-0.951270226,0
-0.031418416,-0.893083999,0
1.319442675,-0.171642843,0
-0.354790008,1.110250243,0
-0.436238549,-0.619997592,1
0.506061624,0.719322535,0
1.305555666,0.453114767,0
-0.475679878,-0.665545725,1
-0.027964415,-0.554286042,1
0.989010034,-0.490157444,0
0.763338221,0.604869383,1
-1.075758334,0.373202999,0
-0.633555061,0.436545252,1
0.946912934,-0.501857711,0
0.644355993,-0.97949108,0
-0.359544979,-0.449006276,1
0.430398434,0.6616707,1
1.150492107,-0.04794809,0
-0.098272825,0.76297192,1
0.431521184,0.257476419,1
-0.661108092,-0.090591377,1
-0.016091016,-0.868804207,1
-0.65608816,0.721623898,0
-0.623601374,-0.530285208,1
-0.127467811,-0.599535304,1
0.270579991,0.738211532,1
-0.466879583,1.03214384,1
-1.059175147,-0.251871922,0
-0.548359878,-0.428942969,1
-0.297301383,0.438429316,1
-0.901657015,0.302985919,1
-0.731862304,-0.698488785,1
-0.21806991,-0.453931551,1
-0.091578936,0.910345811,0
0.851630707,0.092466341,1
-0.619407458,0.929677654,0
0.486890675,-0.817325115,1
0.165487829,0.780756538,1
1.209563837,-0.432422124,1
0.334060454,0.697328128,1
0.824394366,-0.053652041,1
0.077552814,0.790748422,1
-0.863122481,0.528413983,0
-0.515704736,-0.869221229,1
0.696644968,-0.109644189,0
1.201977943,0.102188383,0
-0.265286155,0.504876631,1
-0.747443341,0.356951667,0
-0.72813735,-0.363369132,0
-0.795413804,0.034105248,1
-0.699161122,-0.608947368,1
0.83725554,0.505090076,1
-0.316769893,-0.871699147,1
0.184277188,-0.660808788,1
1.019282096,-0.069452422,0
-0.022931259,-0.966878189,1
1.005050681,0.067470859,1
-0.507487615,-0.76924125,1
0.673216701,0.967277372,0
0.441673935,-0.412167068,1
0.744681093,0.117555394,1
-0.572639505,-0.265379608,1
0.540903511,-0.414565347,1
-0.290899145,0.71535685,1
0.717606862,0.828894249,1
0.905642302,0.615694348,0
-0.806233499,-0.807755371,0
-0.609337423,0.500309281,1
0.755844919,0.745916638,0
0.863119362,-0.728028192,1
-0.692147044,-0.763159068,0
0.450643558,-0.032342797,1
1.087667785,-0.591003884,0
-0.466290559,0.61420368,1
-0.950536727,-0.078276563,0
-1.067807072,-0.542476749,0
0.599730962,0.828115579,0
-0.609507957,0.612287626,0
0.137060047,-0.871598565,1
-0.068030001,0.971754703,1
0.892147969,0.820366297,0
-0.525859906,0.779824598,1
0.513667237,0.831235891,0
-0.91365961,0.315399384,0
-1.148976661,0.029048886,0
-0.160583054,0.637512384,1
-0.440037218,-1.033797961,0
-0.158184495,-0.808721013,1
-0.608333462,-0.932354559,1
0.908177202,-0.569834869,1
-0.567655908,-0.30980596,1
1.014942284,0.322609989,0
0.577933444,0.596975405,1
0.585316978,-1.04094096,0
0.976555627,-0.227744354,0
-1.248517393,-0.058718181,0
0.671250287,-0.42101279,1
-0.766541019,-0.507986123,0
-1.205406332,-0.118293998,0
0.919935195,0.040301932,1
0.215065533,-1.295982351,0
0.889773971,0.102121129,1
-0.2255457,0.833961833,1
0.672554785,-0.909293871,0
-0.850403458,-0.006773809,1
-0.894343341,-0.847120279,1
-0.052212807,-0.876243974,0
-0.159337309,0.927158293,0
-0.05512013,-1.069762169,0
-0.261373856,0.952155541,0
0.641000985,0.649579953,1
0.308333294,0.814649082,1
-0.848163349,-0.272597422,1
0.421511525,0.764903716,0
-0.551249224,0.778467464,1
-1.079277073,0.24726735,1
0.462334846,-0.828213681,1
0.388868104,-0.795447537,0
-0.464636244,0.759898549,1
-0.292985182,0.368314873,1
-0.239681951,1.430952547,0
0.600859828,0.651596823,0
-1.274158731,0.448413384,0
-0.972775463,-0.01676495,1
-0.40186058,0.53720316,1
-0.236143841,0.550507977,1
1.049345219,-0.363438334,0
-0.295524561,0.970917803,0
-1.079617161,0.75443634,0
-0.310491193,0.946181854,1
-0.545861817,-1.173422805,0
0.910108996,0.321731731,0
-0.917548559,0.215424052,0
0.706223095,0.659433146,1
-0.118231498,1.467599589,0
-0.648977689,-0.071684142,1
0.689382001,0.569832153,1
1.255655355,-0.057716923,1
-0.074278581,-0.521676878,0
-0.873070083,-0.764337023,0
1.110255545,0.182502342,1
0.500668474,-0.619372852,0
0.664587001,-0.113871574,1
0.780200457,-0.520103636,1
0.938728317,0.337917138,1
0.131417027,-0.93839432,1
-0.598713832,0.732070544,0
0.074409769,-0.57212352,1
-0.020113996,-0.966139653,0
-1.078113493,-0.269539085,0
1.22236926,-0.041586169,0
-0.257631755,0.69613722,1
-0.442783279,0.078214263,1
0.278142708,-0.987388443,0
0.943521803,0.455776567,1
1.122978378,-0.214569985,0
0.558316909,0.587135922,0
-0.816647883,0.0645177,0
0.662253827,0.212412608,1
0.317320113,0.647731132,1
-0.983371013,-0.29643662,1
0.449800841,0.919946305,1
0.155958354,-1.153305009,0
0.412142171,-0.520811939,0
0.022843546,-1.101425911,1
0.153917447,1.259078999,1
0.572792548,-0.695024188,1
0.122041356,0.979077691,0
-0.70838267,0.808962115,0
0.055258779,-0.435255521,1
0.872616703,0.025893628,1
-0.329133529,0.9784695,0
-1.261491877,0.506108978,1
-0.828834782,0.031461629,1
0.934534957,-0.528951288,0
-0.586549191,0.622878669,1
-0.722286055,0.46072814,1
-0.692968442,-0.457088781,0
-0.129429324,-0.958690038,0
0.35542155,1.016199311,0
0.171165357,-0.768976437,0
-0.026074113,0.522631368,1
-0.537386146,-0.575746738,1
0.085607012,0.846150328,0
1.113973128,0.122407956,1
0.24737913,-0.910906587,1
0.266190344,-1.071255775,0
-0.969834064,-0.485484036,0
1.095196386,0.03689975,0
-0.153205629,0.597385468,0
-0.788656748,-0.335668228,1
-0.038146158,1.013961618,0
0.942095038,-0.181555444,1
0.521095509,-0.211527788,1
-0.483703402,-0.785987585,0
